SH601231	2013-12-31	2022-06-30
SH601238	2013-12-31	2024-06-28
SH601258	2013-12-31	2017-06-30
SH601288	2013-12-31	2024-06-28
SH601299	2013-12-31	2015-05-28
SH601318	2013-12-31	2024-06-28
SH601328	2013-12-31	2024-06-28
SH601333	2013-12-31	2019-06-28
SH601336	2013-12-31	2024-06-28
SH601369	2013-12-31	2014-06-30
SH601377	2013-12-31	2024-06-28
SH601390	2013-12-31	2024-06-28
SH601398	2013-12-31	2024-06-28
SH601555	2013-12-31	2021-12-31
SH601600	2013-12-31	2024-06-28
SH601601	2013-12-31	2024-06-28
SH601607	2013-12-31	2024-06-28
SH601618	2013-12-31	2024-06-28
SH601628	2013-12-31	2024-06-28
SH601633	2013-12-31	2024-06-28
SH601666	2013-12-31	2014-12-30
SH601668	2013-12-31	2024-06-28
SH601669	2013-12-31	2024-06-28
SH601688	2013-12-31	2024-06-28
SH601699	2013-12-31	2024-06-28
SH601717	2013-12-31	2014-06-30
SH601766	2013-12-31	2024-06-28
SH601800	2013-12-31	2024-06-28
SH601808	2013-12-31	2024-06-28
SH601818	2013-12-31	2024-06-28
SH601857	2013-12-31	2024-06-28
SH601866	2013-12-31	2018-12-28
SH601888	2013-12-31	2024-06-28
SH601898	2013-12-31	2024-06-28
SH601899	2013-12-31	2024-06-28
SH601901	2013-12-31	2024-06-28
SH601918	2013-12-31	2014-12-30
SH601928	2013-12-31	2017-06-30
SH601933	2013-12-31	2022-06-30
SH601939	2013-12-31	2024-06-28
SH601958	2013-12-31	2018-12-28
SH601988	2013-12-31	2024-06-28
SH601989	2013-12-31	2024-06-28
SH601991	2013-12-31	2019-06-28
SH601992	2013-12-31	2020-12-31
SH601998	2013-12-31	2024-06-28
SH603000	2013-12-31	2017-06-30
SH603993	2013-12-31	2024-06-28
SZ000001	2013-12-31	2024-06-28
SZ000002	2013-12-31	2024-06-28
SZ000009	2013-12-31	2017-12-29
SZ000012	2013-12-31	2014-12-30
SZ000024	2013-12-31	2015-12-31
SZ000039	2013-12-31	2017-06-30
SZ000046	2013-12-31	2016-12-30
SZ000060	2013-12-31	2018-12-28
SZ000061	2013-12-31	2017-06-30
SZ000063	2013-12-31	2024-06-28
SZ000069	2013-12-31	2024-06-28
SZ000100	2013-12-31	2024-06-28
SZ000156	2013-12-31	2017-12-29
SZ000157	2013-12-31	2024-06-28
SZ000333	2013-12-31	2024-06-28
SZ000338	2013-12-31	2024-06-28
SZ000400	2013-12-31	2016-06-30
SZ000401	2013-12-31	2015-06-30
SZ000402	2013-12-31	2019-12-31
SZ000423	2013-12-31	2020-06-30
SZ000425	2013-12-31	2024-06-28
SZ000528	2013-12-31	2014-06-30
SZ000536	2013-12-31	2015-06-30
SZ000538	2013-12-31	2024-06-28
SZ000562	2013-12-31	2015-01-29
SZ000568	2013-12-31	2024-06-28
SZ000581	2013-12-31	2016-06-30
SZ000596	2013-12-31	2024-06-28
SZ000598	2013-12-31	2016-06-30
SZ000623	2013-12-31	2018-12-28
SZ000625	2013-12-31	2024-06-28
SZ000629	2013-12-31	2020-06-30
SZ000630	2013-12-31	2020-06-30
SZ000651	2013-12-31	2024-06-28
SZ000656	2013-12-31	2021-12-31
SZ000686	2013-12-31	2018-06-29
SZ000703	2013-12-31	2022-12-30
SZ000709	2013-12-31	2020-12-31
SZ000718	2013-12-31	2017-12-29
SZ000725	2013-12-31	2024-06-28
SZ000728	2013-12-31	2021-12-31
SZ000729	2013-12-31	2016-12-30
SZ000750	2013-12-31	2018-06-29
SZ000758	2013-12-31	2014-12-30
SZ000768	2013-12-31	2024-06-28
SZ000776	2013-12-31	2024-06-28
SZ000778	2013-12-31	2017-06-30
SZ000783	2013-12-31	2022-06-30
SZ000792	2013-12-31	2024-06-28
SZ000793	2013-12-31	2017-12-29
SZ000800	2013-12-31	2024-06-28
SZ000826	2013-12-31	2019-06-28
SZ000831	2013-12-31	2016-06-30
SZ000839	2013-12-31	2019-06-28
SZ000858	2013-12-31	2024-06-28
SZ000869	2013-12-31	2015-06-30
SZ000876	2013-12-31	2024-06-28
SZ000878	2013-12-31	2015-12-31
SZ000895	2013-12-31	2024-06-28
SZ000933	2013-12-31	2014-06-30
SZ000937	2013-12-31	2016-06-30
SZ000960	2013-12-31	2015-12-31
SZ000961	2013-12-31	2021-06-30
